palabra;tematica - homologacion;tematica - pqr;sub-subtematica - no aplica;subtematica - aclaracion respuesta no coincide marca/modelo;subtematica - bloqueo/ desbloqueo celulares;subtematica - complementacion postulacion;subtematica - consulta de pertinencia;subtematica - correcion carta de homologacion;subtematica - cuando los equipos vienen sellados;subtematica - equipo bloqueado;subtematica - equipo no homologable vendido por autorizado;subtematica - equipo no homologable vendido por comercio colombiano;subtematica - error al marcar *#06#;subtematica - error en formulario complementacion;subtematica - formato imagenes;subtematica - formulario: al parecer cuenta con un imei alterado;subtematica - imei invalido;subtematica - link de consulta tramite;subtematica - nombre comercial vs modelo equipo;subtematica - peticion por formulario;subtematica - problemas con el operador y ya esta homologado;subtematica - realizar el tramite homologacion;subtematica - sin fcc y otro certificado
enero;5;36;41;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;36;0;0;0
mayo;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
tuesday;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
january;1;3;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
domingo;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
dic;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
wednesday;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
friday;2;3;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
viernes;0;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0
sábado;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
jan;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
sep;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
december;1;5;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
febrero;3;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0
lunes;0;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0
martes;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0
marzo;2;1;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
junio;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0
agosto;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
octubre;2;5;7;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0
sunday;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
noviembre;2;21;23;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;21;0;0;0
diciembre;4;36;40;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;36;0;0;0
sat;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
miércoles;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nov;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
septiembre;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
november;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jueves;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
abril;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
may;1;6;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;6;0;0;0
julio;1;4;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0
';0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
