id,palabra,e_10_18,e_19_24,e_25_34,e_35_44,e_45_54,otro
8031,perri,0,1,1,0,0,0
1724,empezar,10,16,9,3,4,11
2781,siguen,8,11,12,16,8,17
1714,poquito,3,12,10,5,2,2
1723,quisieras,3,3,0,0,0,2
1716,perdido,13,6,10,6,3,7
6065,fondo,2,12,1,8,0,7
4,gol,24,38,29,19,14,13
6062,mereces,4,5,5,3,0,2
2773,funcionar,2,0,0,0,0,0
1701,villavicenciometa,0,1,3,1,0,0
6068,pesimo,4,3,4,4,4,0
1703,colombianos,4,5,16,22,24,24
31,grandes,21,30,39,37,16,23
1705,cruza,0,1,0,0,0,1
2778,honor,6,11,8,11,4,11
18,hare,4,10,7,1,2,1
6063,llueve,8,11,10,5,1,3
1698,trabajos,11,7,7,2,0,3
2784,meta,10,14,6,6,4,12
6061,mendigar,1,2,0,0,0,1
1695,lindas,11,7,4,4,1,2
17,pajaro,1,0,3,0,0,2
8030,rat,0,0,2,0,0,0
20,miedo,52,29,22,22,11,8
1707,lollamaselamordetuvida,0,1,0,0,0,0
48,minuto,13,13,12,4,2,14
21,aleja,8,1,8,8,2,1
1720,noticias,6,8,14,13,7,38
2777,regalarme,3,2,3,1,0,0
6064,mojado,0,1,1,0,0,0
1704,cheers,0,2,2,1,0,0
13,jaula,0,1,2,0,1,0
33,saldra,2,1,3,0,2,1
6071,sierra,0,4,1,3,2,6
1709,ynoshacemosviejos,0,1,0,0,0,0
1718,deberian,10,15,10,4,7,6
45,sherman,0,0,1,0,0,0
1706,hacemos,5,6,13,7,7,11
1700,pura,5,11,11,9,3,2
1715,coma,8,6,2,2,4,1
26,disfrazan,6,2,7,2,1,1
2,marca,2,4,9,12,5,16
41,gratos,1,0,2,1,2,1
42,recuerdos,24,13,15,9,3,6
10,sos,8,6,10,4,4,1
2780,dudas,5,6,6,1,3,4
40,ldsoficial,1,0,3,0,0,0
2782,25,9,14,31,17,16,25
1717,sharonnathalia,0,1,0,0,0,0
1721,desilusionan,0,1,0,0,0,0
1711,comida,18,3,17,6,8,10
22,pizarnik,1,0,1,0,0,1
2776,dire,2,2,1,0,1,4
1,jeffersonduque9,0,1,2,1,0,0
6066,desesperados,0,1,0,0,0,0
32,dim,3,3,3,1,1,0
1696,ofrece,2,2,2,3,2,10
16,vuelto,4,3,7,1,1,2
6067,mipapajohns,0,1,0,0,0,0
2775,coincidencia,3,1,0,3,1,0
34,camisa,2,6,2,0,1,1
1712,deliciosa,1,2,5,3,1,3
2783,abajo,5,3,7,4,3,1
1699,parciales,1,6,4,1,0,1
1722,resultados,7,7,17,21,13,32
9,delantero,0,2,3,1,1,0
8034,balance,0,0,4,0,2,12
1713,lavidaescolorderosa,1,1,1,0,0,0
25,chicos,3,7,9,0,3,8
1710,reciba,0,1,0,0,0,2
6070,pepe,0,2,0,1,1,0
36,rayas,0,2,1,2,0,0
8032,sj,4,0,2,0,0,0
8033,egoismo,0,1,2,0,1,0
2774,podre,5,5,3,0,1,0
1702,llanos,0,4,3,2,0,2
61,brazos,8,7,3,2,1,0
2792,cursi,7,2,1,1,0,0
56,aciaga,0,0,1,0,0,0
1744,claaaro,0,1,0,0,0,0
6073,atender,1,1,0,1,0,2
1738,julio,4,6,4,13,3,14
2793,mimado,1,2,0,0,0,0
1727,jueves,4,14,20,9,7,52
63,accidenteque,0,0,1,0,0,0
66,che,4,2,1,2,3,1
1749,conectadisima,0,2,0,0,0,0
1730,angelica,0,1,0,1,0,0
81,dale,13,28,22,30,4,8
1739,venga,11,12,9,4,2,3
2771,venir,7,4,5,5,6,4
8,gran,41,75,110,100,42,153
1708,primavera,0,9,4,1,1,0
1697,siendo,20,25,15,11,8,8
65,dura,10,10,7,5,2,3
2785,suyo,9,3,0,4,2,0
43,frente,17,14,14,20,8,21
1719,existir,6,8,2,1,1,1
39,blanca,2,6,9,4,1,2
84,notas,2,1,3,2,1,3
47,ultimo,13,18,22,10,7,24
2779,levantar,8,2,7,2,2,1
11,senor,28,39,38,31,30,33
68,remandoquiero,0,0,1,0,0,0
2789,abrazarla,1,1,0,0,0,0
1726,vengadejese,0,1,0,0,0,0
1743,ah,26,12,7,1,2,1
72,brazosme,0,0,1,0,0,0
1733,papel,5,6,13,7,5,17
1753,conformarse,1,2,0,0,0,0
1747,memes,1,1,0,1,0,0
59,hijo,11,11,28,17,11,7
2790,besarla,1,2,0,0,0,0
51,ultimos,8,3,12,9,4,27
1757,drogueria,0,2,0,0,0,0
78,lider,2,5,12,9,7,23
2786,alegra,7,15,6,8,1,3
52,partidos,5,9,18,9,8,2
1737,diversion,1,3,3,4,0,11
6080,ridiculiza,0,1,0,0,1,0
2787,deprimen,1,0,0,0,0,0
1728,correr,8,11,18,5,2,1
6075,tiaorgullosa,0,1,0,0,0,0
89,llenan,3,1,4,0,0,2
91,002jac,0,0,1,0,0,0
1732,felicito,4,1,4,4,2,3
1740,instala,0,1,1,0,1,1
60,perdio,5,11,22,11,10,6
6077,personaje,2,4,2,2,3,6
95,otro,50,47,49,30,23,19
54,popular,0,0,11,11,9,25
1745,marihuaneros,0,1,0,1,0,0
6079,disfraza,1,4,1,1,1,0
82,veeerdeee,0,1,1,0,0,0
75,reclasificacion,0,3,4,0,0,0
28,quieren,29,14,22,20,13,16
1751,modo,8,10,23,11,4,3
6076,loveher,0,1,0,0,0,0
1746,podia,4,4,4,2,2,1
1759,whats,2,4,3,0,1,0
1741,whatsappmama,0,1,0,0,0,0
85,viejitas,1,0,1,0,0,0
6074,terrible,0,4,1,2,0,2
2794,responde,6,9,1,4,3,6
1734,celia,0,2,2,2,1,1
1752,gymporque,0,1,0,0,0,0
1754,opcion07andreyk,0,1,0,0,0,0
2788,jodio,4,2,1,0,0,0
1736,parese,0,1,0,1,1,0
