ID,PALABRA,MASCULINO,FEMENINO
8031,perri,0,2
1724,empezar,15,27
2781,siguen,30,25
1714,poquito,14,18
1723,quisieras,1,5
1716,perdido,15,23
6065,fondo,11,12
4,gol,95,29
6062,mereces,5,12
2773,funcionar,1,1
1701,villavicenciometa,4,1
6068,pesimo,8,11
1703,colombianos,59,12
31,grandes,95,48
1705,cruza,0,1
2778,honor,26,14
18,hare,7,17
6063,llueve,17,18
1698,trabajos,11,16
2784,meta,19,21
6061,mendigar,0,3
1695,lindas,4,23
17,pajaro,3,1
8030,rat,1,1
20,miedo,51,85
1707,lollamaselamordetuvida,0,1
48,minuto,24,20
21,aleja,12,15
1720,noticias,29,19
2777,regalarme,6,3
6064,mojado,1,1
1704,cheers,3,2
13,jaula,4,0
33,saldra,6,2
6071,sierra,8,2
1709,ynoshacemosviejos,0,1
1718,deberian,20,26
45,sherman,1,0
1706,hacemos,18,20
1700,pura,24,15
1715,coma,11,11
26,disfrazan,14,4
2,marca,19,13
41,gratos,5,1
42,recuerdos,28,36
10,sos,18,14
2780,dudas,14,7
40,ldsoficial,4,0
2782,25,53,34
1717,sharonnathalia,0,1
1721,desilusionan,0,1
1711,comida,22,30
22,pizarnik,1,1
2776,dire,5,1
1,jeffersonduque9,3,1
6066,desesperados,0,1
32,dim,8,3
1696,ofrece,4,7
16,vuelto,9,7
6067,mipapajohns,0,1
2775,coincidencia,6,2
34,camisa,8,3
1712,deliciosa,5,7
2783,abajo,15,7
1699,parciales,5,7
1722,resultados,35,30
9,delantero,6,1
8034,balance,4,2
1713,lavidaescolorderosa,0,3
25,chicos,10,12
1710,reciba,0,1
6070,pepe,2,2
36,rayas,3,2
8032,sj,0,6
8033,egoismo,3,1
2774,podre,4,10
1702,llanos,5,4
61,brazos,9,12
2792,cursi,5,6
56,aciaga,1,0
1744,claaaro,1,0
6073,atender,0,3
1738,julio,20,10
2793,mimado,1,2
1727,jueves,35,19
63,accidenteque,1,0
66,che,12,0
1749,conectadisima,1,1
1730,angelica,1,1
81,dale,65,32
1739,venga,12,26
2771,venir,14,13
8,gran,251,117
1708,primavera,7,8
1697,siendo,35,44
65,dura,14,20
2785,suyo,7,11
43,frente,39,34
1719,existir,5,13
39,blanca,12,10
84,notas,6,3
47,ultimo,38,32
2779,levantar,13,8
11,senor,87,79
68,remandoquiero,1,0
2789,abrazarla,2,0
1726,vengadejese,0,1
1743,ah,24,24
72,brazosme,1,0
1733,papel,25,11
1753,conformarse,2,1
1747,memes,2,1
59,hijo,42,36
2790,besarla,2,1
51,ultimos,23,13
1757,drogueria,2,0
78,lider,23,12
2786,alegra,14,23
52,partidos,36,13
1737,diversion,6,5
6080,ridiculiza,1,1
2787,deprimen,1,0
1728,correr,36,8
6075,tiaorgullosa,0,1
89,llenan,3,5
91,002jac,1,0
1732,felicito,9,6
1740,instala,3,0
60,perdio,39,20
6077,personaje,8,5
95,otro,98,101
54,popular,26,5
1745,marihuaneros,2,0
6079,disfraza,4,4
82,veeerdeee,2,0
75,reclasificacion,4,3
28,quieren,48,50
1751,modo,32,24
6076,loveher,0,1
1746,podia,9,7
1759,whats,5,5
1741,whatsappmama,1,0
85,viejitas,1,1
6074,terrible,4,3
2794,responde,16,7
1734,celia,4,3
1752,gymporque,1,0
1754,opcion07andreyk,1,0
2788,jodio,4,3
1736,parese,2,1
1725,propia,13,15
1729,arriesgas,2,1
71,baje,4,1
1742,fijo,7,3
74,ir,98,146
1756,repente,12,8
1748,mandan,11,5
76,atletico,6,6
2791,preocupen,2,3
1735,cruz,13,14
6081,ratita,0,1
6082,ratitos,0,1
1758,tricolor,7,2
141,calma,6,14
2795,adios,22,32
1768,noviosi,1,0
110,asombrado,2,0
100,porfirio,1,0
104,ome,14,10
125,17,20,14
2798,perfectamente,8,6
6086,ratito,1,4
1769,infielpero,1,0
6083,cogieron,0,1
109,recogido,1,0
126,horas,91,79
111,jackkerouac,1,0
117,hora,137,114
1760,app,36,18
1772,joda,10,8
116,232513,1,0
2806,novela,13,10
2811,elige,11,7
122,dabeiba,1,0
2799,preguntar,4,5
2796,ilumines,1,0
101,barba,3,4
139,america,52,16
2797,entendemos,3,2
97,gloria,34,14
1775,hablarlaconexionperfectasigan,1,0
6090,tendran,8,5
1770,hpta,28,19
2810,diciendo,15,23
6078,soldado,10,6
131,futuro,70,55
92,tal,68,58
1766,hacerte,13,14
93,vez,178,233
79,tambien,159,148
140,pedir,27,28
103,ayy,5,3
94,bajo,36,22
6072,empleados,4,9
135,vuelve,35,53
1755,novia,35,41
6,nacional,123,37
90,amor,341,615
87,aun,96,105
132,conteo,7,1
121,noreste,1,1
133,regresivo,5,0
1771,digale,3,1
2807,alex,13,4
2805,embc,1,0
99,sonrie,16,15
6088,gays,2,1
105,escribe,15,10
120,ml,2,0
2804,hablamos,13,8
136,marty,6,0
2802,pelotas,5,0
128,minutos,46,37
1762,laconexionperfecta,1,0
1763,siganlos,1,0
1773,enfocados,2,0
6084,llorarias,0,1
1765,07andreyk,1,0
2800,drama,5,7
130,llegue,26,35
6085,cogieran,0,1
1767,preguntasitenes,1,0
119,29,30,16
1777,arrepentidomusic,1,0
2808,torcido,1,0
6087,pastusos,1,2
127,50,19,16
6091,interponer,0,1
6092,recurso,2,2
2801,romper,10,3
1761,veni,1,3
1776,conectados,4,6
1774,dando,17,12
129,mcfly,6,1
6089,parodia,0,1
124,faltan,24,20
102,jacob,1,0
197,2,168,108
2824,caminos,16,8
9465,sounds,1,0
189,adelante,41,27
148,graduaspoo,1,0
149,pooo,1,0
150,polloooo,1,0
187,dar,51,71
2822,metas,11,14
154,derecho,39,31
2817,truco,7,14
