PALABRA,TEMATICA - HOMOLOGACION,TEMATICA - PQR,SUBTEMATICA - SEGUIMIENTO RESPUESTA ,SUBTEMATICA - EQUIPO BLOQUEADO,SUBTEMATICA - OTROS,SUBTEMATICA - IMPOSIBILIDAD OBTENER REQUISITOS,SUBTEMATICA - PROBLEMAS DE REGISTRO,SUBTEMATICA - REALIZAR EL TRAMITE HOMOLOGACION,SUBTEMATICA - PETICION POR FORMULARIO,SUBTEMATICA - EQUIPO NO HOMOLOGABLE VENDIDO POR AUTORIZADO,SUBTEMATICA - CONSULTA DE PERTINENCIA,SUBTEMATICA - EQUIPO NO HOMOLOGABLE VENDIDO POR COMERCIO COLOMBIANO,SUBTEMATICA - CORRECION CARTA DE HOMOLOGACION,SUBTEMATICA - COMPLEMENTACION POSTULACION,SUB-SUBTEMATICA - NO APLICA
em,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5
17:44:36,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
d7,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
respuesta.,6,0,0,6,0,0,0,0,0,0,0,0,0,0,6
aduce,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
cita,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
2016,9,0,1,8,0,0,0,0,0,0,0,0,0,0,9
solicitaron,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2
“un,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
solucionan,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
económicos,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
pedir,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
social,1,7,0,1,0,0,0,0,7,0,0,0,0,0,8
cobros,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
dirijo,6,1,1,3,0,1,0,0,1,0,0,1,0,0,7
651-644-6057,1,3,0,0,0,0,0,0,3,0,0,0,1,0,4
arandelas,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
79.577.553,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
salvo,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
días,18,34,1,12,2,1,0,1,34,1,0,0,0,0,52
eficiencia,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
cely,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
familiar,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
españa,5,1,0,4,1,0,0,0,1,0,0,0,0,0,6
?los,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
voz,3,8,0,0,0,0,0,0,8,0,3,0,0,0,11
cct,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
autorizadas,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
plasmados,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
2017715736,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
hear,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
sufridos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
preocupación,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
domiciliaria,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
corresponde,8,2,1,6,0,0,0,0,2,0,1,0,0,0,10
presentada,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
entregado,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
realice,5,5,1,4,0,0,0,0,5,0,0,0,0,0,10
without,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
meid,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
edilberto,0,10,0,0,0,0,0,0,10,0,0,0,0,0,10
tigo,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2
pais,3,0,1,2,0,0,0,0,0,0,0,0,0,0,3
identidad,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
incluye,1,5,0,1,0,0,0,0,5,0,0,0,0,0,6
valiosa,1,2,0,0,0,0,0,0,2,0,1,0,0,0,3
incumplido,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
solicitada,7,1,0,3,3,1,0,0,1,0,0,0,0,0,8
cortes,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5
riesgos,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
sugerencia,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
cyrinna,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
falla,0,11,0,0,0,0,0,0,11,0,0,0,0,0,11
mail,4,2,0,2,0,0,0,0,2,0,0,0,1,1,6
confirma,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
llegó,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
desire,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
funcionar,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2
cause,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
crédito,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
